"state","district","avg_dem_margin"
"ALABAMA",1,-0.26096757291612
"ALABAMA",2,-0.239751591132417
"ALABAMA",3,-0.081383351465698
"ALABAMA",4,-0.204996772707407
"ALABAMA",5,0.145551148203746
"ALABAMA",6,-0.181179516039104
"ALABAMA",7,0.482669300480842
"ALASKA",0,-0.252231573094115
"ARIZONA",1,-0.158228034025917
"ARIZONA",2,0.123301667170483
"ARIZONA",3,-0.045841664312556
"ARIZONA",4,-0.122106328206448
"ARIZONA",5,-0.216251751298781
"ARIZONA",6,-0.172499138827885
"ARIZONA",7,0.312861703920552
"ARIZONA",8,-0.11019519639634
"ARIZONA",9,0.169943406744916
"ARKANSAS",1,0.0985664709513829
"ARKANSAS",2,0.0794938561920167
"ARKANSAS",3,-0.343818647273535
"ARKANSAS",4,0.0352955357716703
"CALIFORNIA",1,0.12960675217129
"CALIFORNIA",2,-0.0749636965200895
"CALIFORNIA",3,0.0829164096446727
"CALIFORNIA",4,-0.0429861099808852
"CALIFORNIA",5,0.412356788588305
"CALIFORNIA",6,0.387119460267823
"CALIFORNIA",7,0.34230970433152
"CALIFORNIA",8,0.403872934416707
"CALIFORNIA",9,0.433547363651098
"CALIFORNIA",10,0.172248448232363
"CALIFORNIA",11,0.169687996306575
"CALIFORNIA",12,0.246008504272404
"CALIFORNIA",13,0.425491758623988
"CALIFORNIA",14,0.240386557003617
"CALIFORNIA",15,0.31808832992251
"CALIFORNIA",16,0.37339835416593
"CALIFORNIA",17,0.199620178685397
"CALIFORNIA",18,0.234930664449261
"CALIFORNIA",19,-0.108135805813393
"CALIFORNIA",20,-0.0187304837670162
"CALIFORNIA",21,-0.231615308387434
"CALIFORNIA",22,-0.236396255362554
"CALIFORNIA",23,0.0372639465162519
"CALIFORNIA",24,0.132754808210198
"CALIFORNIA",25,0.0211817943564776
"CALIFORNIA",26,0.0743693405886593
"CALIFORNIA",27,0.160768749506729
"CALIFORNIA",28,0.353933774966005
"CALIFORNIA",29,0.548571222460795
"CALIFORNIA",30,0.399833466302999
"CALIFORNIA",31,0.356257616919414
"CALIFORNIA",32,0.427056238290103
"CALIFORNIA",33,0.173801005569431
"CALIFORNIA",34,0.300457142178495
"CALIFORNIA",35,0.274344117933894
"CALIFORNIA",36,0.168481727668478
"CALIFORNIA",37,0.239614244342381
"CALIFORNIA",38,0.11913937942488
"CALIFORNIA",39,-0.167620342903562
"CALIFORNIA",40,-0.2965274777812
"CALIFORNIA",41,-0.137268149297238
"CALIFORNIA",42,-0.105013676581047
"CALIFORNIA",43,0.0159481526093586
